ENTRY,RETURN,RATE
2000:01:03,7649.11,
2000:01:04,7370.64,-3.708476024
2000:01:05,7387.27,0.225370761
2000:01:06,7476.86,1.205466918
2000:01:07,7653.59,2.336190105
2000:01:10,7704.07,0.657394184
2000:01:11,7637.23,-0.871378865
2000:01:12,7644.99,0.101555935
2000:01:13,7717.19,0.93997768
2000:01:14,7769.00,0.669114783
2000:01:17,7769.00,0
2000:01:18,7678.57,-1.170812406
2000:01:19,7709.61,0.403427073
2000:01:20,7664.33,-0.589050444
2000:01:21,7637.72,-0.347796888
2000:01:24,7440.97,-2.609791263
2000:01:25,7462.42,0.28785417
2000:01:26,7499.50,0.495659326
2000:01:27,7499.73,0.003066824
2000:01:28,7297.99,-2.726805212
2000:01:31,7468.06,2.303629215
2000:02:01,7492.14,0.321921108
2000:02:02,7500.80,0.115521051
2000:02:03,7539.03,0.508384501
2000:02:04,7498.29,-0.541853198
2000:02:07,7470.15,-0.375991528
2000:02:08,7551.19,1.079008747
2000:02:09,7394.39,-2.098356214
2000:02:10,7356.71,-0.510878266
2000:02:11,7226.63,-1.784000784
2000:02:14,7232.69,0.083821374
2000:02:15,7309.20,1.052280082
2000:02:16,7210.65,-1.357472885
2000:02:17,7127.58,-1.158733393
2000:02:18,6935.05,-2.738350233
2000:02:21,6935.05,0
2000:02:22,6993.08,0.833282512
2000:02:23,6971.60,-0.3076335
2000:02:24,6928.07,-0.626347853
2000:02:25,6822.51,-1.53538358
2000:02:28,6951.99,1.880051019
2000:02:29,7060.72,1.551907978
2000:03:01,7136.68,1.070065291
2000:03:02,7187.44,0.708737605
2000:03:03,7301.67,1.576803085
2000:03:06,7193.25,-1.496000282
2000:03:07,6967.74,-3.185216087
2000:03:08,7011.16,0.621223982
2000:03:09,7176.32,2.328355161
2000:03:10,7125.58,-0.70955905
2000:03:13,7080.53,-0.634236269
2000:03:14,6983.55,-1.379138019
2000:03:15,7198.96,3.037918767
2000:03:16,7553.88,4.81247674
2000:03:17,7574.10,0.267319392
2000:03:20,7563.89,-0.134892434
2000:03:21,7722.55,2.075901226
2000:03:22,7720.39,-0.027973948
2000:03:23,7838.59,1.519409035
2000:03:24,7843.25,0.059431803
2000:03:27,7816.06,-0.347269801
2000:03:28,7773.13,-0.55076766
2000:03:29,7835.16,0.794838212
2000:03:30,7751.28,-1.076330577
2000:03:31,7721.99,-0.378588818
2000:04:03,7967.94,3.135388729
2000:04:04,7894.69,-0.923560855
2000:04:05,7839.00,-0.707910637
2000:04:06,7936.64,1.237873669
2000:04:07,7941.24,0.057942246
2000:04:10,7977.76,0.458823595
2000:04:11,7994.10,0.204609929
2000:04:12,7870.11,-1.563173013
2000:04:13,7724.22,-1.871119265
2000:04:14,7318.05,-5.401694777
2000:04:17,7465.81,1.999003243
2000:04:18,7641.91,2.331364047
2000:04:19,7624.43,-0.229000633
2000:04:20,7713.99,1.167799784
2000:04:21,7713.99,0
2000:04:24,7769.07,0.711490266
2000:04:25,7957.98,2.402473271
2000:04:26,7891.37,-0.840544151
2000:04:27,7835.23,-0.713952647
2000:04:28,7699.64,-1.745665631
2000:05:01,7760.75,0.790540449
2000:05:02,7701.69,-0.763919371
2000:05:03,7527.79,-2.283827926
2000:05:04,7486.18,-0.554285196
2000:05:05,7572.99,1.152931557
2000:05:08,7614.63,0.54834272
2000:05:09,7565.77,-0.643727026
2000:05:10,7474.59,-1.212485832
2000:05:11,7554.57,1.064340988
2000:05:12,7627.19,0.956681622
2000:05:15,7818.22,2.473741279
2000:05:16,7855.62,0.477229205
2000:05:17,7759.34,-1.233192018
2000:05:18,7737.37,-0.283544245
2000:05:19,7627.96,-1.424139269
2000:05:22,7556.53,-0.940835377
2000:05:23,7482.53,-0.984112002
2000:05:24,7554.73,0.960288707
2000:05:25,7486.08,-0.912856112
2000:05:26,7455.18,-0.413620325
2000:05:29,7455.18,0
2000:05:30,7614.04,2.108481863
2000:05:31,7663.54,0.648010656
2000:06:01,7749.61,1.116850153
2000:06:02,7851.29,1.303532999
2000:06:05,7822.12,-0.372223194
2000:06:06,7792.20,-0.38323842
2000:06:07,7851.27,0.755206879
2000:06:08,7791.21,-0.767912698
2000:06:09,7722.08,-0.891241736
2000:06:12,7691.51,-0.396663465
2000:06:13,7800.30,1.404507135
2000:06:14,7857.78,0.73419293
2000:06:15,7887.60,0.378778228
2000:06:16,7768.90,-1.516332186
2000:06:19,7850.19,1.040915111
2000:06:20,7788.28,-0.791769571
2000:06:21,7785.78,-0.032104667
2000:06:22,7688.05,-1.263181766
2000:06:23,7670.47,-0.228928408
2000:06:26,7736.95,0.862966189
2000:06:27,7720.28,-0.215692028
